0	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp	rightanswer_len	wronganswer_len	diff_len	rightanswer_numwords	wronganswer_numwords	diff_numwords
0.0																		
0.1	0.0	0.377964473009	0.0	0.487950036474	0.0	0.0	0.0	0.487950036474	0.0	0.0	0.377964473009	0.377964473009	12.9099444874	3.38765264987	0.487950036474	2.57275098271	1.11269728053	0.377964473009
0.2	0.0	0.511309992565	0.0	0.427792631946	0.0	0.383482494424	0.0	0.485071250073	0.0	0.460888598962	0.427792631946	0.485071250073	12.0837221033	8.30229513901	0.427792631946	2.50228653605	1.76476034774	0.383482494424
0.3	0.0	0.506060827347	0.260661180215	0.491507434992	0.0	0.457229956859	0.415299732237	0.496795772415	0.260661180215	0.467901138093	0.477118723614	0.500870322678	14.1119013865	13.5290155771	0.496795772415	2.5661967683	2.80492349607	0.467901138093
0.4	0.0	0.49024089431	0.383482494424	0.476918211428	0.0	0.501258919324	0.402373908081	0.5026540206	0.383482494424	0.502096445253	0.458349248514	0.458349248514	13.1652607128	11.6206013334	0.487375639528	2.61476094317	2.45131874415	0.468324386609
0.5	0.0	0.428801781412	0.389043492054	0.50199601592	0.0	0.4795158849	0.428801781412	0.474239629097	0.389043492054	0.461833652499	0.490161263786	0.442573121351	13.5896070346	12.0042895559	0.494876980477	2.72266472887	2.44545661677	0.476952692589
0.6	0.0	0.40138648596	0.479163543218	0.4613407082	0.0	0.444958993332	0.494219458908	0.495380963351	0.479163543218	0.411403541019	0.490132517854	0.46701546899	13.0042801678	11.1128959294	0.500287273796	2.71211274757	2.37308099524	0.488566595264
0.7	0.0	0.395200702694	0.500621919088	0.458064761628	0.0	0.4075661087	0.500288302529	0.444783716188	0.500621919088	0.395200702694	0.453000171617	0.350892424101	12.6852600189	12.1829608072	0.501106783045	2.56968333033	2.51854273241	0.496236825097
0.8	0.0	0.264851720086	0.321853982155	0.50054292677	0.0	0.313452139475	0.304663795588	0.400342319275	0.321853982155	0.275602144906	0.499409192751	0.321853982155	13.1410070081	12.5158303161	0.499409192751	2.52571096357	2.39292177764	0.50054292677
0.9	0.0	0.149042484024	0.0	0.415651047789	0.0	0.303104125574	0.252109742045	0.436666882305	0.0	0.231534263229	0.40777623601	0.252109742045	12.7549299612	10.4710695433	0.501218341018	2.62379671347	2.12558339676	0.501218341018
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4265142666	11.8903980238	0.475652917619	2.73210992817	2.31368425238	0.483143975593
